,Unnamed: 0_x,fips_str,ep_pov,ep_bipoc,ep_carless,ep_overcrowd,risk_score,Unnamed: 0_y,pop
307,62866,42003517000,0.2990769230769231,0.4270769230769231,0.3171270718232044,0.0,0.3727070832060762,62866,1625
29,62588,42003100500,0.1917943648047454,0.6930301532377657,0.2125279642058165,0.0,0.3719735344230079,62588,2023
89,62648,42003290100,0.2753938077131993,0.2476914720260727,0.2389853137516689,0.027,0.3705273527434291,62648,1841
349,62908,42003560400,0.2438867438867439,0.4510939510939511,0.3360849056603773,0.0,0.3664110018947537,62908,1554
258,62817,42003484600,0.243526170798898,0.2165289256198347,0.2926587301587302,0.025,0.3630435654481335,62817,1815
5,62564,42003040400,0.241866175567833,0.2682627378759975,0.3393393393393393,0.015,0.3623459552167409,62564,1629
346,62905,42003552200,0.2865168539325842,0.3561797752808989,0.0533980582524271,0.0409999999999999,0.3616750906261859,62905,890
36,62595,42003111300,0.1648114901256732,0.3579892280071813,0.2686915887850467,0.022,0.3565178082973328,62595,2785
59,62618,42003161000,0.3201240523776705,0.4631288766368022,0.2239316239316239,0.0,0.354810734139273,62618,2902
73,62632,42003202200,0.1766091051805337,0.4266091051805337,0.1528127623845508,0.027,0.3534526833078225,62632,2548
199,62758,42003462600,0.2510220768601799,0.4093758517307168,0.3213644524236984,0.0,0.3503602390520949,62758,3669
279,62838,42003492900,0.3667425968109339,0.4214123006833713,0.1907449209932279,0.0,0.3466329046305799,62838,1756
82,62641,42003262000,0.3511759935117599,0.3495539334955393,0.2574692442882249,0.0,0.3449820623495668,62641,2466
348,62907,42003552400,0.4580890973036342,0.2989449003516999,0.0787003610108303,0.012,0.3408876138761239,62907,3412
138,62697,42003424000,0.270931326434619,0.1401693320790216,0.2517219787100814,0.026,0.3370900519385844,62697,3189
280,62839,42003494000,0.4012561060711793,0.145847871598046,0.1504132231404958,0.021,0.3313674103162629,62839,1433
360,62919,42003562800,0.1948717948717948,0.2173076923076923,0.157543391188251,0.035,0.3252974199303514,62919,1560
1,62560,42003020100,0.1491879350348028,0.3236658932714617,0.4184938036224976,0.005,0.3232474418638507,62560,4310
256,62815,42003484300,0.2489355662787397,0.3525404484814078,0.2908605737158105,0.0,0.3197644514537547,62815,3523
277,62836,42003492700,0.3470205307961942,0.3500250375563345,0.169965075669383,0.0,0.3085996179687911,62836,1997
69,62628,42003191700,0.1193463670849139,0.1733294426612197,0.0639614855570839,0.06,0.3064374627083771,62628,3427
88,62647,42003281500,0.2864864864864865,0.4222972972972973,0.1612903225806451,0.0,0.3041683032695977,62647,1480
259,62818,42003485000,0.3587662337662338,0.351461038961039,0.1461267605633802,0.005,0.3040649320934889,62818,1232
358,62917,42003562600,0.3270648967551622,0.3893805309734513,0.1451263537906137,0.0,0.3031801281129823,62917,2712
362,62921,42003563000,0.258554001785183,0.5349598333829217,0.0970724191063174,0.0069999999999999,0.3026734945324125,62921,3361
15,62574,42003060500,0.1612635078969243,0.1529509559434746,0.1604538087520259,0.037,0.3004819597889429,62574,1203
18,62577,42003070600,0.1986455981941309,0.1963882618510158,0.199697428139183,0.024,0.2989003467509665,62577,2215
63,62622,42003180700,0.3373173970783532,0.3758300132802125,0.1344455348380765,0.0,0.298675376884412,62622,2259
133,62692,42003420000,0.3172323759791122,0.1847258485639686,0.3004434589800443,0.003,0.2979423907442878,62692,1532
77,62636,42003260200,0.3239501615136133,0.3710198431010614,0.1492227979274611,0.0,0.297921863298871,62636,2167
288,62847,42003499400,0.3442334739803094,0.1838959212376933,0.0408719346049046,0.031,0.2958364048422974,62847,2844
72,62631,42003192000,0.1963035564267712,0.2433492019042285,0.1648575305291723,0.023,0.2951740520163461,62631,3571
58,62617,42003160900,0.210414774447472,0.1050560096881622,0.1954732510288065,0.03,0.2942834971331844,62617,3303
292,62851,42003504100,0.3006172839506172,0.3372427983539094,0.1862831858407079,0.0,0.2932365367523066,62851,4860
361,62920,42003562901,0.4045092838196286,0.4350132625994695,0.0726698262243285,0.0,0.2892992074109096,62920,1508
323,62882,42003523400,0.3488835725677831,0.3676236044657097,0.0965283657917019,0.005,0.2854637053720458,62882,5016
173,62732,42003450700,0.2862595419847328,0.291117279666898,0.1158671586715867,0.011,0.2834877589407088,62732,2882
46,62605,42003140200,0.2119124797406807,0.2978119935170178,0.2758620689655172,0.0,0.2825227492680777,62605,2468
54,62613,42003141400,0.1492895737442465,0.2989793876325795,0.1945227547321788,0.016,0.2818006144528783,62613,4997
359,62918,42003562700,0.2115693626138189,0.3706480985538297,0.2177914110429447,0.008,0.2817884443199471,62918,1867
245,62804,42003478100,0.2536148726187744,0.1969244893275189,0.1792079207920792,0.0139999999999999,0.2773877168086019,62804,4357
174,62733,42003450800,0.2751141552511416,0.3302891933028919,0.1757105943152454,0.0,0.2770160724122192,62733,2628
198,62757,42003462100,0.4265193370165746,0.3675874769797422,0.0741394527802294,0.0,0.2768981184631962,62757,2715
